locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBLCLPDI_00500	CDS	576				thymidine kinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00501	CDS	1089				peptide chain release factor 1, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00502	CDS	867				peptide chain release factor N(5)-glutamine methyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00503	CDS	1029				threonylcarbamoyl-AMP synthase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00504	CDS	1236				serine hydroxymethyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00505	CDS	636				uracil phosphoribosyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00506	CDS	1728				phosphoenolpyruvate--protein phosphotransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00507	CDS	1116				YibE/F family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00508	CDS	774				YibE/F family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00509	CDS	1272				uracil transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00510	CDS	708				ATP synthase subunit A, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00511	CDS	219				F0F1 ATP synthase subunit C, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00512	CDS	519				ATP synthase subunit B, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00513	CDS	543				ATP synthase subunit delta, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00514	CDS	1530				ATP synthase subunit alpha, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00515	CDS	945				ATP synthase subunit gamma, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00516	CDS	1428				ATP synthase subunit beta, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00517	CDS	432				F0F1 ATP synthase subunit epsilon, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00518	CDS	264				hypothetical protein
MBLCLPDI_00519	CDS	1317				UDP-N-acetylglucosamine 1-carboxyvinyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00520	CDS	993				rod shape-determining protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00521	CDS	237				membrane protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00522	CDS	225				hypothetical protein
MBLCLPDI_00523	CDS	1194				rod shape-determining protein RodA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00524	CDS	294				glycine cleavage system protein H, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00525	CDS	1383				ISLre2-like element ISLre2 family transposase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00526	CDS	1137				D-alanine--D-alanine ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00527	CDS	408				XRE family transcriptional regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00528	CDS	405				hypothetical protein
MBLCLPDI_00529	CDS	1416				sugar porter family MFS transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00530	CDS	1623				ATPase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00531	CDS	729				L-ribulose-5-phosphate 4-epimerase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00532	CDS	1422				L-arabinose isomerase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00533	CDS	570				sugar O-acetyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00534	CDS	843				aldo/keto reductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00535	CDS	1098				GntR family transcriptional regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00536	CDS	489				universal stress protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00537	CDS	297				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00538	CDS	1305				replication-associated recombination protein A, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00539	CDS	489				hypothetical protein
MBLCLPDI_00540	CDS	273				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00541	CDS	408				glyoxalase/bleomycin resistance/dioxygenase family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00542	CDS	744				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00543	CDS	750				peroxide stress protein YaaA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00544	CDS	1731				oxalyl-CoA decarboxylase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00545	CDS	855	frc_1	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
MBLCLPDI_00546	CDS	459				IS200/IS605 family transposase, Lactobacillus reuteri MM4-1A Contig21740, whole genome shotgun sequence
MBLCLPDI_00547	CDS	453	frc_2	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
MBLCLPDI_00548	CDS	1383				group II intron reverse transcriptase/maturase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00549	CDS	1398				NCS2 family permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00550	CDS	606				30S ribosomal protein S4, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00551	CDS	1704				septation ring formation regulator EzrA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00552	CDS	1149				cysteine desulfurase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00553	CDS	1221				tRNA 4-thiouridine(8) synthase ThiI, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00554	CDS	2655				valine--tRNA ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00555	CDS	1419				cytochrome ubiquinol oxidase subunit I, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00556	CDS	1017				cytochrome d ubiquinol oxidase subunit II, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00557	CDS	1686				thiol reductant ABC exporter subunit CydD, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00558	CDS	1746				thiol reductant ABC exporter subunit CydC, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00559	CDS	1215				NAD(P)/FAD-dependent oxidoreductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00560	CDS	1314				bifunctional folylpolyglutamate synthase/dihydrofolate synthase, Lactobacillus reuteri MM4-1A,whole genome shotgun sequence
MBLCLPDI_00561	CDS	633				DNA repair protein RadC, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00562	CDS	1002				rod shape-determining protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00563	CDS	858				rod shape-determining protein MreC, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00564	CDS	537				rod shape-determining protein MreD, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00565	CDS	648				amino acid ABC transporter permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00566	CDS	651				amino acid ABC transporter ATP-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00567	CDS	852				amino acid ABC transporter substrate-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00568	CDS	1248				insulinase family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00569	CDS	1299				insulinase family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00570	CDS	1038				hypothetical protein
MBLCLPDI_00571	CDS	588				CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, Lactobacillus reuteri MM4-1A,whole genome shotgun sequence
MBLCLPDI_00572	CDS	1248				damage-inducible protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00573	CDS	1089				DNA recombination/repair protein RecA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00574	CDS	1554				ribonuclease Y, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00575	CDS	2646				DNA mismatch repair protein MutS, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00576	CDS	2007				DNA mismatch repair protein MutL, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00577	CDS	600				Holliday junction branch migration protein RuvA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00578	CDS	1017				Holliday junction branch migration DNA helicase RuvB, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00579	CDS	1089				tRNA-guanine transglycosylase subfamily, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00580	CDS	465				preprotein translocase subunit YajC, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00581	CDS	960				bifunctional oligoribonuclease/PAP phosphatase NrnA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00582	CDS	1374				ATP-dependent helicase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00583	CDS	2655				alanine--tRNA ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00584	CDS	267				IreB family regulatory phosphoprotein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00585	CDS	444				Holliday junction resolvase RuvX, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00586	CDS	297				hypothetical protein
MBLCLPDI_00587	CDS	537				CvpA family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00588	CDS	2376				endonuclease MutS2, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00589	CDS	315				thioredoxin, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00590	CDS	555				hypothetical protein
MBLCLPDI_00591	CDS	804				glutamate racemase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00592	CDS	588				XTP/dITP diphosphatase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00593	CDS	519				metallophosphoesterase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00594	CDS	444				CBS domain-containing protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00595	CDS	837				HAD family phosphatase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00596	CDS	876				mechanosensitive ion channel family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00597	CDS	441				hypothetical protein
MBLCLPDI_00598	CDS	459				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00599	CDS	1101				aminopeptidase P family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00600	CDS	1011				catabolite control protein A, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00601	CDS	846				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00602	CDS	747				YebC/PmpR family DNA-binding transcriptional regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00603	CDS	978				secretion protein E, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00604	CDS	1035				type II secretion system protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00605	CDS	312				hypothetical protein
MBLCLPDI_00606	CDS	435				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00607	CDS	291				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00608	CDS	432				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00609	CDS	192				hypothetical protein
MBLCLPDI_00610	CDS	798				class I SAM-dependent methyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00611	CDS	1197				acetate kinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00612	CDS	609				metallophosphatase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00613	CDS	546				hypothetical protein
MBLCLPDI_00614	CDS	771				TIGR01457 family HAD-type hydrolase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00615	CDS	654				TIGR01906 family membrane protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00616	CDS	648				membrane protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00617	rRNA	1573				16S ribosomal RNA
MBLCLPDI_00618	tRNA	77				tRNA-Ile(gat)
MBLCLPDI_00619	tRNA	75				tRNA-Ala(tgc)
MBLCLPDI_00620	rRNA	2919				23S ribosomal RNA
MBLCLPDI_00621	rRNA	112				5S ribosomal RNA
MBLCLPDI_00622	tRNA	75				tRNA-Val(tac)
MBLCLPDI_00623	tRNA	75				tRNA-Lys(ttt)
MBLCLPDI_00624	tRNA	74				tRNA-Thr(tgt)
MBLCLPDI_00625	tRNA	72				tRNA-Gly(gcc)
MBLCLPDI_00626	tRNA	87				tRNA-Leu(taa)
MBLCLPDI_00627	tRNA	76				tRNA-Arg(acg)
MBLCLPDI_00628	tRNA	76				tRNA-Pro(tgg)
MBLCLPDI_00629	tRNA	76				tRNA-Met(cat)
MBLCLPDI_00630	tRNA	77				tRNA-Met(cat)
MBLCLPDI_00631	tRNA	88				tRNA-Ser(tga)
MBLCLPDI_00632	tRNA	76				tRNA-Met(cat)
MBLCLPDI_00633	tRNA	77				tRNA-Asp(gtc)
MBLCLPDI_00634	tRNA	75				tRNA-Phe(gaa)
MBLCLPDI_00635	tRNA	71				tRNA-Gly(tcc)
MBLCLPDI_00636	tRNA	77				tRNA-Ile(gat)
MBLCLPDI_00637	tRNA	90				tRNA-Ser(gct)
MBLCLPDI_00638	tRNA	75				tRNA-Glu(ttc)
MBLCLPDI_00639	tRNA	76				tRNA-Met(cat)
MBLCLPDI_00640	tRNA	77				tRNA-Asp(gtc)
MBLCLPDI_00641	CDS	1248				ISL3 family transposase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00642	CDS	492				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00643	CDS	402				transcriptional regulator Spx, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00644	CDS	672				adaptor protein MecA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00645	CDS	1035				competence protein CoiA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00646	CDS	1377				dipeptidase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00647	CDS	639				dithiol-disulfide isomerase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00648	CDS	654				GTP pyrophosphokinase family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00649	CDS	813				NAD(+) kinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00650	CDS	906				RluA family pseudouridine synthase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00651	rRNA	1573				16S ribosomal RNA
MBLCLPDI_00652	tRNA	77				tRNA-Ile(gat)
MBLCLPDI_00653	tRNA	75				tRNA-Ala(tgc)
MBLCLPDI_00654	rRNA	2919				23S ribosomal RNA
MBLCLPDI_00655	rRNA	112				5S ribosomal RNA
MBLCLPDI_00656	CDS	975				IS66 family transposase, Lactobacillus reuteri MM4-1A Contig21725, whole genome shotgun sequence
MBLCLPDI_00657	CDS	573				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00658	CDS	357				IS66 family insertion sequence hypothetical protein, Lactobacillus reuteri MM4-1A Contig21738, whole genome shotgun sequence
MBLCLPDI_00659	CDS	189				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00660	CDS	1029				lactonase family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00661	CDS	858				methyltransferase domain-containing protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00662	CDS	510				tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00663	CDS	2331				DNA translocase FtsK, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00664	CDS	120				hypothetical protein
MBLCLPDI_00665	CDS	354				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00666	CDS	429				division/cell wall cluster transcriptional repressor MraZ, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00667	CDS	957				ribosomal RNA small subunit methyltransferase H, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00668	CDS	372				cell division protein FtsL, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00669	CDS	2160				PASTA domain-containing protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00670	CDS	972				phospho-N-acetylmuramoyl-pentapeptide- transferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00671	CDS	1371				UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00672	CDS	1113				undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00673	CDS	849				cell division protein FtsQ, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00674	CDS	1374				cell division protein FtsA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00675	CDS	1248				cell division protein FtsZ, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00676	CDS	417				cell division protein SepF, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00677	CDS	261				YggT family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00678	CDS	786				RNA-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00679	CDS	741				DivIVA domain-containing protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00680	CDS	2853				isoleucine--tRNA ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00681	CDS	204				cold shock domain-containing protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00682	CDS	552				NUDIX hydrolase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00683	CDS	270				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00684	CDS	696				5'-methylthioadenosine/adenosylhomocysteine nucleosidase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00685	CDS	1155				cysteine desulfurase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00686	CDS	339				cysteine desulfurase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00687	CDS	1134				tRNA 2-thiouridine(34) synthase MnmA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00688	CDS	657				histidine phosphatase family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00689	CDS	684				tetratricopeptide repeat protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00690	CDS	2478				ATP-dependent RecD-like DNA helicase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00691	CDS	975				ribose-phosphate diphosphokinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00692	CDS	1002				diaminopimelate epimerase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00693	CDS	1359				aspartate kinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00694	CDS	1311				diaminopimelate decarboxylase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00695	CDS	711				2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase, Lactobacillus reuteri MM4-1A,whole genome shotgun sequence
MBLCLPDI_00696	CDS	1146				acetyldiaminopimelate deacetylase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00697	CDS	924				4-hydroxy-tetrahydrodipicolinate synthase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00698	CDS	780				4-hydroxy-tetrahydrodipicolinate reductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00699	CDS	1185				amino acid aminotransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00700	CDS	1059				aspartate-semialdehyde dehydrogenase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00701	CDS	735				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00702	CDS	243				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00703	CDS	1296				GntP family permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00704	CDS	1152				glycerate kinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00705	CDS	351				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00706	CDS	297				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00707	CDS	1401				peptidoglycan endopeptidase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00708	CDS	204				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00709	CDS	948				diacylglycerol kinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00710	CDS	213				hypothetical protein
MBLCLPDI_00711	CDS	477				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00712	CDS	561				peptide deformylase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00713	CDS	1107				pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha, Lactobacillus reuteri MM4-1A,whole genome shotgun sequence
MBLCLPDI_00714	CDS	978				alpha-ketoacid dehydrogenase subunit beta, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00715	CDS	1335				branched-chain alpha-keto acid dehydrogenase subunit E2, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00716	CDS	1428				dihydrolipoyl dehydrogenase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00717	CDS	294				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00718	CDS	774				inositol monophosphatase family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00719	CDS	1845				translational GTPase TypA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00720	CDS	1224				FtsW/RodA/SpoVE family cell cycle protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00721	CDS	285				hypothetical protein
MBLCLPDI_00722	CDS	564				16S rRNA (guanine(966)-N(2))-methyltransferase RsmD, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00723	CDS	522				phosphopantetheine adenylyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00724	CDS	1053				PDZ domain-containing protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00725	CDS	633				competence protein ComEA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00726	CDS	486				ComE operon protein 2, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00727	CDS	2130				DNA internalization-related competence protein ComEC/Rec2, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00728	CDS	1032				DNA polymerase III subunit delta, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00729	CDS	255				30S ribosomal protein S20, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00730	CDS	270				30S ribosomal protein S15, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00731	CDS	1782				RNase J family beta-CASP ribonuclease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00732	CDS	906				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00733	CDS	1191				elongation factor Tu, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00734	CDS	1311				trigger factor, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00735	CDS	1251				ATP-dependent Clp protease ATP-binding subunit ClpX, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00736	CDS	591				GTP-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00737	CDS	342				nucleotide pyrophosphohydrolase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00738	CDS	138				hypothetical protein
MBLCLPDI_00739	CDS	1812				excinuclease ABC subunit C, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00740	CDS	1317				GTPase ObgE, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00741	CDS	930				ribonuclease Z, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00742	CDS	834				SDR family NAD(P)-dependent oxidoreductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00743	CDS	468				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00744	CDS	321				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00745	CDS	273				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
